Category,Item,MPN,Supplier,Qty,Unit,Notes,Package
MCU,STM32G031 ARM Cortex-M0+ 32MHz TSSOP20,STM32G031K8T6,ST,1,1.80,Local pressure processing and bus communication,SMD
Sensor,Pressure Sensor 0-10bar MPRLS0025PA00001A,MPL3115A2,I2C or SPI,1,4.50,Differential pressure for hydraulic/pneumatic systems,SMD
Sensor,Pressure Sensor 0-100bar industrial,BMP388,Bosch Sensortec,1,2.80,High-pressure monitoring for hydraulic systems,SMD
Sensor,Pressure Sensor 0-1bar low-pressure,BMP280,Bosch Sensortec,1,2.20,Low-pressure monitoring for pneumatic systems,SMD
Communication,RS-485 transceiver half-duplex,SN65HVD72,Texas Instruments,1,0.85,Bus interface for digital communication,SMD
Power,Buck converter 12V to 3.3V 500mA,TPS62172DSGT,Texas Instruments,1,1.45,Efficient power from bus,SMD
Power,LDO 3.3V clean for analog,MCP1700T-3302E,Microchip,1,0.12,Clean power for pressure sensors,SMD
Connector,4-pin screw terminal block 5.08mm,691137710004,Wurth,1,0.18,Bus connection (12V GND Data+ Data-),THT
Connector,Cable gland PG9 for 4-conductor cable,PG9-GLAND,Wiska,1,1.50,Strain relief and environmental sealing,THT
Connector,Pressure fittings G1/4 BSP,M12-PRESSURE-FITTING,Generic,2,3.50,Hydraulic/pneumatic pressure ports,THT
Protection,ESD protection diode array 4-ch,ESD9X3.3ST5G,OnSemi,1,0.08,Bus and power line protection,SMD
Clock,8MHz crystal for MCU,ABM8G-8.000MHZ,ABRACON,1,0.12,MCU external clock source,SMD
Addressing,4-position SMD DIP switch,DSHP04TS-S,XKB,1,0.12,Module address configuration (SMD DIP),SMD
Status,Status LED green 0603,LTST-C190KGKT,Lite-On,1,0.01,Operational status indication,SMD
Passives,Resistors and capacitors 0603 assorted,R0603 assortment,Generic,1,0.25,Bus termination filter and bias network,SMD
Mechanical,Pressure relief valve 100bar,RELIEF-VALVE-100BAR,Generic,1,8.50,Safety relief for overpressure protection,Mechanical
PCB,2-layer PCB FR4 1.55mm 50x40mm,PCB-2L-MEDIUM,Various,1,0.85,Pressure sensor module with multiple ranges,PCB
Enclosure,Custom enclosure (IP67 pressure-rated),CUSTOM,Custom,1,12.50,Custom enclosure; equivalent spec to PRESSURE-ENC-01,Mechanical
Programming,Tag-Connect SWD footprint (TC2050 or TC2030),TC2050/TC2030,Tag-Connect,0,0.00,DNP; ensure footprint on PCB for SWD,SMD
